debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,derived_sex,applicant_ethnicity-1,derived_race,co-applicant_ethnicity-1,applicant_sex_observed,action_taken,purchaser_type,preapproval,tract_minority_population_percent,loan_type,loan_purpose,tract_population,income,ffiec_msa_md_median_family_income,tract_median_age_of_housing_units,applicant_age,applicant_age_above_62,co-applicant_age_above_62,loan_amount,action_taken_final
30%-<36%,8,9,Sex Not Available,3.0,Race Not Available,3.0,2,1,0,2,17.5,1,2,1920,143.0,72800,80,45-54,No,No,55000.0,Approved
41,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,82.02,1,2,2242,172.0,72800,0,55-64,No,,55000.0,Denied
>60%,8,10,Male,2.0,White,5.0,1,3,0,2,12.47,1,31,7106,56.0,72800,57,55-64,No,,155000.0,Denied
20%-<30%,3,10,Female,2.0,Black or African American,5.0,2,1,0,2,98.33,1,1,3768,47.0,72800,68,25-34,No,,65000.0,Approved
37,8,9,Female,2.0,White,2.0,2,1,0,2,37.1,1,2,4259,91.0,72800,60,55-64,No,No,65000.0,Approved
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,23.96,1,2,4624,87.0,72800,64,35-44,No,,35000.0,Denied
30%-<36%,8,9,Joint,2.0,White,2.0,2,3,0,2,17.11,1,2,7844,71.0,72800,23,55-64,No,No,25000.0,Denied
<20%,9,8,Joint,2.0,White,2.0,2,1,0,2,11.9,1,31,4321,242.0,72800,46,55-64,No,No,55000.0,Approved
47,3,10,Male,2.0,Black or African American,5.0,2,1,0,2,25.4,1,1,2697,48.0,72800,36,35-44,No,,135000.0,Approved
,9,9,Female,2.0,White,5.0,2,5,0,2,13.66,1,31,6471,65.0,72800,39,>74,Yes,,105000.0,Approved
20%-<30%,8,10,Male,2.0,White,5.0,2,1,0,2,12.06,1,31,3863,56.0,72800,62,>74,Yes,,75000.0,Approved
<20%,9,8,Joint,2.0,Joint,2.0,2,3,0,2,9.61,1,4,5817,135.0,72800,76,55-64,No,No,105000.0,Denied
>60%,8,10,Male,3.0,White,5.0,2,3,0,2,45.43,1,4,1358,54.0,72800,0,45-54,No,,65000.0,Denied
50%-60%,8,10,Female,2.0,2 or more minority races,5.0,2,3,0,2,96.77,1,2,2475,41.0,72800,80,>74,Yes,,105000.0,Denied
20%-<30%,1,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.61,1,1,3374,76.0,72800,70,25-34,No,,45000.0,Denied
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,90.47,1,2,2560,40.0,72800,65,35-44,No,,25000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,13.88,1,2,1635,352.0,72800,68,55-64,Yes,Yes,295000.0,Approved
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,96.68,1,2,3944,80.0,72800,72,55-64,No,,35000.0,Denied
50%-60%,8,10,Male,2.0,White,5.0,2,3,0,2,24.79,1,4,3982,80.0,72800,70,35-44,No,,35000.0,Denied
42,8,10,Male,2.0,White,5.0,2,1,0,2,14.8,1,2,2791,96.0,72800,64,45-54,No,,25000.0,Approved
50%-60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,44.85,1,4,3619,130.0,72800,56,45-54,No,,25000.0,Denied
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,37.1,1,2,4259,180.0,72800,60,35-44,No,,105000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,4,0,2,65.36,1,1,3352,61.0,72800,63,45-54,No,,125000.0,Approved
<20%,9,1,Joint,2.0,Asian,2.0,2,1,0,2,14.29,1,1,2680,360.0,72800,44,45-54,No,No,155000.0,Approved
36,8,10,Female,2.0,White,5.0,2,1,0,2,21.47,1,4,4109,180.0,72800,0,45-54,No,,175000.0,Approved
20%-<30%,8,10,Sex Not Available,3.0,White,5.0,2,3,0,2,14.34,1,2,4875,40.0,72800,63,35-44,No,,25000.0,Denied
>60%,8,10,Female,3.0,White,5.0,2,3,0,2,19.29,1,2,2665,37.0,72800,63,65-74,Yes,,25000.0,Denied
,9,9,Female,2.0,White,5.0,2,5,0,2,73.07,1,2,3402,28.0,72800,65,65-74,Yes,,35000.0,Approved
48,2,10,Male,2.0,Black or African American,5.0,2,2,0,2,95.94,1,1,2490,61.0,72800,0,65-74,Yes,,85000.0,Approved
44,2,10,Female,3.0,Black or African American,5.0,2,1,0,2,98.21,1,1,1788,25.0,72800,67,65-74,Yes,,55000.0,Approved
>60%,8,10,Female,2.0,White,5.0,2,3,0,2,30.75,1,4,2689,41.0,72800,36,55-64,Yes,,55000.0,Denied
38,9,10,Female,2.0,Black or African American,5.0,2,1,0,1,99.28,1,1,3746,43.0,72800,68,35-44,No,,65000.0,Approved
20%-<30%,8,10,Female,3.0,Race Not Available,5.0,2,3,0,2,11.3,1,2,3541,180.0,72800,0,45-54,No,,55000.0,Denied
>60%,8,10,Female,2.0,White,5.0,2,3,0,2,29.02,1,2,2626,37.0,72800,57,45-54,No,,65000.0,Denied
20%-<30%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,95.05,1,4,3996,25.0,72800,69,25-34,No,,35000.0,Denied
38,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,88.95,1,2,2533,64.0,72800,62,45-54,No,,55000.0,Denied
,9,9,Male,3.0,Race Not Available,5.0,2,5,0,2,35.43,1,31,2650,212.0,72800,41,45-54,No,,125000.0,Approved
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,22.43,1,2,5305,107.0,72800,43,55-64,No,,75000.0,Approved
>60%,8,10,Male,2.0,White,5.0,1,3,0,2,12.22,1,2,4296,65.0,72800,58,35-44,No,,405000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,25.98,1,4,3360,35.0,72800,65,>74,Yes,,55000.0,Denied
20%-<30%,2,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.63,1,2,1313,66.0,72800,76,45-54,No,,55000.0,Denied
<20%,8,10,Male,2.0,White,5.0,1,1,0,2,11.33,1,31,7155,156.0,72800,62,35-44,No,,195000.0,Approved
20%-<30%,1,10,Female,2.0,Black or African American,5.0,2,1,0,1,98.95,1,1,1717,71.0,72800,77,25-34,No,,65000.0,Approved
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.32,1,2,3315,43.0,72800,74,45-54,No,,55000.0,Denied
20%-<30%,9,10,Male,2.0,Black or African American,5.0,2,1,0,2,25.98,1,1,3360,112.0,72800,65,25-34,No,,235000.0,Approved
49,8,10,Male,2.0,White,5.0,1,1,0,2,6.91,1,31,7178,19.0,72800,70,45-54,No,,45000.0,Approved
<20%,9,8,Joint,2.0,White,2.0,2,1,0,2,30.75,1,4,2689,147.0,72800,36,35-44,No,No,55000.0,Approved
46,8,10,Female,3.0,Race Not Available,5.0,2,3,0,2,87.45,1,2,1426,108.0,72800,0,35-44,No,,155000.0,Denied
49,3,10,Female,11.0,White,5.0,2,1,0,2,18.93,1,1,2383,40.0,72800,66,25-34,No,,155000.0,Approved
20%-<30%,8,10,Male,2.0,White,5.0,2,1,0,2,12.15,1,4,3326,152.0,72800,52,55-64,No,,45000.0,Approved
>60%,8,10,Female,2.0,Race Not Available,5.0,2,3,0,2,10.99,1,31,3240,30.0,72800,52,65-74,Yes,,255000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,18.92,1,2,3609,137.0,72800,45,35-44,No,No,65000.0,Approved
<20%,2,10,Female,2.0,Black or African American,5.0,2,2,0,1,98.02,1,1,2632,62.0,72800,66,55-64,No,,55000.0,Approved
38,3,10,Male,2.0,Black or African American,5.0,2,2,0,1,98.76,1,1,3707,102.0,72800,68,45-54,No,,185000.0,Approved
>60%,8,10,Female,2.0,White,5.0,2,3,0,2,22.11,1,1,3799,42.0,72800,60,55-64,Yes,,145000.0,Denied
30%-<36%,1,9,Joint,2.0,White,12.0,2,1,0,2,11.49,1,1,4056,48.0,72800,54,>74,Yes,Yes,125000.0,Approved
37,9,10,Female,2.0,Black or African American,5.0,2,1,0,2,98.15,1,1,2538,40.0,72800,62,65-74,Yes,,115000.0,Approved
49,8,9,Joint,2.0,White,2.0,2,1,0,2,22.39,1,31,5019,35.0,72800,43,>74,Yes,Yes,145000.0,Approved
,9,9,Joint,2.0,Asian,2.0,2,4,0,2,46.1,1,1,7688,221.0,72800,15,45-54,No,No,105000.0,Approved
>60%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.01,1,2,2769,9.0,72800,73,55-64,No,,25000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,48.27,1,31,3495,28.0,72800,69,65-74,Yes,,65000.0,Denied
20%-<30%,8,10,Female,2.0,White,5.0,2,1,0,2,47.92,1,31,4541,27.0,72800,41,65-74,Yes,,25000.0,Approved
36,8,10,Female,2.0,White,5.0,2,1,0,2,12.62,1,4,3399,129.0,72800,57,25-34,No,,55000.0,Approved
>60%,9,8,Joint,3.0,Race Not Available,3.0,2,3,0,2,46.1,1,31,7688,172.0,72800,15,45-54,No,No,235000.0,Denied
39,8,10,Male,2.0,White,5.0,1,1,0,2,43.31,1,31,2376,61.0,72800,70,35-44,No,,105000.0,Approved
47,8,10,Male,2.0,White,5.0,2,3,0,2,23.43,1,2,6102,32.0,72800,0,45-54,No,,125000.0,Denied
20%-<30%,1,10,Female,2.0,Black or African American,5.0,2,3,0,2,92.16,1,1,3624,47.0,72800,0,35-44,No,,95000.0,Denied
,9,9,Female,2.0,Asian,5.0,2,5,0,2,60.51,1,2,2231,42.0,72800,0,25-34,No,,145000.0,Approved
20%-<30%,8,10,Female,2.0,White,5.0,2,1,0,2,39.72,1,2,3756,28.0,72800,65,>74,Yes,,25000.0,Approved
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.38,1,1,1545,191.0,72800,76,35-44,No,,75000.0,Denied
20%-<30%,2,10,Female,2.0,Black or African American,5.0,2,3,0,2,92.16,1,1,3624,76.0,72800,0,45-54,No,,165000.0,Denied
30%-<36%,8,10,Male,2.0,White,5.0,1,1,0,2,9.5,1,2,6694,88.0,72800,80,45-54,No,,165000.0,Approved
<20%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,99.31,1,2,3168,100.0,72800,71,45-54,No,,75000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,1,0,2,12.2,1,31,2173,175.0,72800,43,55-64,Yes,,55000.0,Approved
38,3,10,Female,2.0,Black or African American,5.0,2,1,0,2,98.6,1,1,2072,18.0,72800,65,55-64,Yes,,45000.0,Approved
39,8,10,Female,2.0,White,5.0,2,1,0,2,22.43,1,4,5305,65.0,72800,43,45-54,No,,25000.0,Approved
50%-60%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,35.43,1,31,2650,132.0,72800,41,45-54,No,,205000.0,Denied
>60%,8,10,Male,2.0,White,5.0,1,3,0,2,19.26,1,4,3437,19.0,72800,66,65-74,Yes,,165000.0,Denied
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.78,1,2,3201,53.0,72800,66,45-54,No,,55000.0,Denied
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,16.2,1,2,4328,42.0,72800,63,55-64,No,,35000.0,Denied
30%-<36%,9,8,Joint,2.0,White,2.0,2,1,0,2,21.63,1,4,5451,70.0,72800,40,65-74,Yes,Yes,25000.0,Approved
48,9,8,Joint,2.0,Black or African American,2.0,2,1,0,2,98.85,1,2,3466,53.0,72800,72,65-74,Yes,Yes,55000.0,Approved
30%-<36%,1,10,Male,2.0,Asian,5.0,2,2,0,1,34.43,1,1,6122,135.0,72800,15,35-44,No,,315000.0,Approved
>60%,3,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.32,1,1,3315,32.0,72800,74,45-54,No,,125000.0,Denied
,9,9,Male,2.0,White,5.0,2,4,0,2,14.34,1,1,4875,79.0,72800,63,65-74,Yes,,205000.0,Approved
<20%,8,10,Male,2.0,White,5.0,2,1,0,2,10.99,1,31,3240,75.0,72800,52,45-54,No,,55000.0,Approved
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,97.32,1,2,3056,50.0,72800,74,55-64,No,,55000.0,Denied
,9,9,Female,2.0,White,5.0,2,4,0,2,47.92,1,4,4541,62.0,72800,41,45-54,No,,105000.0,Approved
49,8,10,Male,2.0,White,5.0,2,1,0,2,10.52,1,4,3764,201.0,72800,65,55-64,Yes,,385000.0,Approved
<20%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.15,1,2,2921,44.0,72800,71,25-34,No,,25000.0,Denied
,9,9,Male,2.0,White,5.0,2,5,0,2,34.68,1,4,4819,76.0,72800,37,65-74,Yes,,155000.0,Approved
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,96.81,1,2,1193,100.0,72800,72,35-44,No,,55000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,37.54,1,2,4992,61.0,72800,53,55-64,Yes,,95000.0,Denied
,9,9,Joint,3.0,Black or African American,2.0,2,5,0,2,82.52,1,2,3330,171.0,72800,0,65-74,Yes,Yes,55000.0,Approved
<20%,9,10,Male,2.0,Black or African American,5.0,2,3,0,2,97.88,1,2,3579,60.0,72800,71,25-34,No,,35000.0,Denied
>60%,8,10,Male,2.0,White,5.0,2,3,0,2,17.11,1,2,7844,50.0,72800,23,25-34,No,,55000.0,Denied
20%-<30%,9,8,Joint,2.0,Black or African American,2.0,2,3,0,2,98.97,1,2,3793,130.0,72800,66,35-44,No,No,105000.0,Denied
<20%,8,9,Joint,3.0,Race Not Available,2.0,2,1,0,2,37.1,1,4,4259,62.0,72800,60,55-64,No,No,55000.0,Approved
43,3,10,Male,2.0,Black or African American,5.0,2,1,0,1,67.22,1,1,3505,83.0,72800,39,25-34,No,,135000.0,Approved
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,46.1,1,31,7688,1000.0,72800,15,35-44,No,,1005000.0,Denied
<20%,8,10,Male,3.0,White,5.0,2,3,0,2,11.66,1,2,5119,90.0,72800,64,25-34,No,,105000.0,Denied
46,8,10,Male,2.0,White,5.0,2,1,0,2,47.92,1,2,4541,79.0,72800,41,55-64,No,,25000.0,Approved
>60%,2,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.94,1,1,2921,0.0,72800,65,35-44,No,,145000.0,Denied
37,8,10,Female,2.0,Black or African American,5.0,2,1,0,2,50.03,1,4,4849,92.0,72800,34,45-54,No,,55000.0,Approved
36,9,8,Joint,2.0,White,2.0,2,1,0,2,42.93,1,2,5239,143.0,72800,36,45-54,No,No,55000.0,Approved
30%-<36%,8,9,Joint,2.0,Asian,2.0,2,1,0,2,23.98,1,2,4350,206.0,72800,26,45-54,No,No,155000.0,Approved
>60%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,85.99,1,1,842,36.0,72800,79,35-44,No,,125000.0,Denied
>60%,2,10,Male,2.0,Black or African American,5.0,2,3,0,2,92.43,1,1,4056,131.0,72800,71,55-64,No,,65000.0,Denied
41,9,10,Male,2.0,Asian,5.0,2,3,0,2,68.1,1,1,3611,68.0,72800,64,<25,No,,195000.0,Denied
<20%,8,10,Male,,Black or African American,5.0,2,3,0,2,97.62,1,1,2692,49.0,72800,73,25-34,No,,25000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,21.02,1,31,2626,212.0,72800,66,65-74,Yes,No,105000.0,Approved
36,8,10,Male,2.0,White,5.0,2,3,0,2,14.35,1,2,2710,96.0,72800,65,45-54,No,,25000.0,Denied
30%-<36%,3,10,Female,2.0,White,5.0,2,1,0,2,23.24,1,32,4643,33.0,72800,63,35-44,No,,75000.0,Approved
,9,9,Female,2.0,Asian,5.0,2,5,0,2,99.34,1,2,3183,160.0,72800,66,35-44,No,,55000.0,Approved
>60%,2,10,Male,2.0,Black or African American,5.0,2,3,0,2,92.43,1,1,4056,131.0,72800,71,55-64,No,,65000.0,Denied
42,3,10,Female,2.0,Black or African American,5.0,2,3,0,2,43.82,1,1,5157,61.0,72800,65,35-44,No,,145000.0,Denied
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,89.56,1,2,2068,55.0,72800,0,45-54,No,,55000.0,Denied
46,8,10,Male,2.0,Race Not Available,5.0,2,1,0,2,22.05,1,2,2562,59.0,72800,63,55-64,Yes,,35000.0,Approved
,9,9,Female,2.0,White,5.0,2,6,3,2,47.92,1,1,4541,110.0,72800,41,25-34,No,,245000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,98.05,2,5,3644,,72800,74,8888,,,15000.0,Approved
,9,9,Joint,1.0,Race Not Available,2.0,2,1,0,2,16.03,2,1,3082,,72800,50,45-54,No,No,55000.0,Approved
,9,9,Male,2.0,White,5.0,2,3,0,2,28.24,1,4,3074,,72800,63,45-54,No,,5000.0,Denied
,9,9,Male,2.0,American Indian or Alaska Native,5.0,2,1,0,2,19.42,1,4,4614,,72800,67,35-44,No,,105000.0,Approved
,9,9,Female,2.0,White,5.0,2,1,0,2,24.61,1,4,2954,,72800,44,35-44,No,,185000.0,Approved
20%-<30%,2,10,Female,2.0,Black or African American,5.0,2,1,0,2,43.13,3,4,3160,69.0,72800,63,65-74,Yes,,55000.0,Approved
30%-<36%,3,10,Male,2.0,White,5.0,2,1,0,2,12.22,2,1,4296,115.0,72800,58,35-44,No,,115000.0,Approved
,9,9,Joint,2.0,White,2.0,2,4,0,2,22.43,1,1,5305,53.0,72800,43,35-44,No,No,95000.0,Approved
39,1,10,Female,2.0,Black or African American,5.0,2,1,0,2,75.2,2,1,4431,40.0,72800,63,45-54,No,,55000.0,Approved
43,2,10,Female,2.0,White,5.0,2,1,0,2,12.76,1,4,1975,137.0,72800,65,25-34,No,,175000.0,Approved
20%-<30%,3,10,Female,2.0,White,5.0,2,1,0,2,15.65,1,1,2818,60.0,72800,68,45-54,No,,95000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,16.2,2,5,4328,,72800,63,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,83.24,2,5,3646,,72800,63,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,80.57,2,5,2218,,72800,72,8888,,,75000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,2,2,84.14,2,5,4237,,72800,67,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,18.72,2,5,3804,,72800,67,8888,,,135000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,36.06,2,5,2668,,72800,61,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,24.79,2,5,3982,,72800,70,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,2,2,39.72,2,5,3756,,72800,65,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,18.93,2,5,2383,,72800,66,8888,,,105000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,95.27,2,5,2222,,72800,65,8888,,,25000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,59.64,2,5,4383,,72800,65,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,40.8,3,5,3591,,72800,68,8888,,,15000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,11.66,2,5,2213,,72800,64,8888,,,45000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,22.11,2,5,3799,,72800,60,8888,,,95000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,21.63,2,5,5451,,72800,40,8888,,,35000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,11.21,2,5,2953,,72800,72,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,46.1,2,5,7688,,72800,15,8888,,,165000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,85.39,2,5,3948,,72800,24,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,29.02,2,5,2626,,72800,57,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,18.98,2,5,2566,,72800,66,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,27.57,3,5,3751,,72800,61,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,20.22,2,5,4361,,72800,64,8888,,,35000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,2,2,32.05,2,5,3529,,72800,41,8888,,,105000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,99.34,2,5,3183,,72800,66,8888,,,95000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,54.26,2,5,2687,,72800,63,8888,,,45000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,86.98,2,5,2918,,72800,64,8888,,,35000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,9.0,2,5,7392,,72800,78,8888,,,45000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,47.61,2,5,3806,,72800,55,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,39.39,2,5,3613,,72800,65,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,9.79,2,5,4431,,72800,53,8888,,,105000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,31.49,2,5,5811,,72800,44,8888,,,155000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,20.14,2,5,2056,,72800,56,8888,,,145000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,9.0,2,5,7392,,72800,78,8888,,,95000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,22.39,3,5,5019,,72800,43,8888,,,145000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,21.72,2,5,4987,,72800,66,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,41.74,2,5,5149,,72800,62,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,15.08,2,5,2765,,72800,67,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,40.44,2,5,5722,,72800,44,8888,,,195000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,29.2,2,5,3705,,72800,63,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,57.06,2,5,7015,,72800,26,8888,,,165000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,15.7,2,5,3497,,72800,64,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,2,2,17.5,2,5,1920,,72800,80,8888,,,75000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,98.85,2,5,3466,,72800,72,8888,,,35000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,40.44,2,5,5722,,72800,44,8888,,,45000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,20.41,2,5,4689,,72800,26,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,25.4,2,5,2697,,72800,36,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,86.98,2,5,2918,,72800,64,8888,,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,30.69,2,5,4206,,72800,65,8888,,,75000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,29.02,2,5,2626,,72800,57,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,89.46,2,5,3758,,72800,70,8888,,,25000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,20.22,2,5,4361,,72800,64,8888,,,125000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,24.79,2,5,3982,,72800,70,8888,,,225000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,34.43,2,5,6122,,72800,15,8888,,,245000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,21.72,2,5,4987,,72800,66,8888,,,75000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,54.66,2,5,3297,,72800,63,8888,,,185000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,39.99,2,5,3166,,72800,49,8888,,,45000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,99.02,2,5,2145,,72800,76,8888,,,25000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,98.78,3,5,3197,,72800,67,8888,,,5000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,20.98,2,5,2593,,72800,65,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,8.77,2,5,5715,,72800,76,8888,,,165000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,22.77,2,5,1265,,72800,37,8888,,,95000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,24.06,3,1,3541,,72800,43,8888,,,165000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,17.5,2,1,1920,,72800,80,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,41.74,2,1,5149,,72800,62,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,2,2,58.84,3,1,4419,,72800,59,8888,,,65000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,19.23,2,1,5527,,72800,48,8888,,,145000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,96.77,2,1,2475,,72800,80,8888,,,115000.0,Approved
,9,9,Joint,2.0,Asian,2.0,2,4,0,2,50.19,1,1,8340,169.0,72800,15,25-34,No,No,545000.0,Approved
30%-<36%,3,10,Male,2.0,Asian,5.0,2,3,0,2,40.8,1,32,3591,117.0,72800,68,35-44,No,,85000.0,Denied
46,3,10,Male,3.0,Race Not Available,5.0,2,1,1,2,95.72,1,31,2569,62.0,72800,70,45-54,No,,55000.0,Approved
20%-<30%,2,10,Female,2.0,White,5.0,2,1,3,2,8.39,1,1,3670,162.0,72800,46,55-64,No,,365000.0,Approved
30%-<36%,1,10,Female,2.0,White,5.0,2,3,0,2,12.27,1,32,4979,55.0,72800,68,45-54,No,,195000.0,Denied
43,1,10,Male,3.0,Race Not Available,5.0,2,3,0,2,82.52,1,1,3330,107.0,72800,0,55-64,Yes,,95000.0,Denied
20%-<30%,1,10,Female,2.0,Asian,5.0,2,1,1,2,59.69,1,32,7088,80.0,72800,47,55-64,Yes,,155000.0,Approved
